cluster_id,violation_count,centre_lat,centre_lon,dist_to_centre_km,peak_hour_frac,weekend_frac,hour_sin_mean,hour_cos_mean,morning_peak_frac,evening_peak_frac,unique_days,viol_SCOOTER_frac,viol_CAR_frac,viol_MOTOR_CYCLE_frac,viol_PASSENGER_AUTO_frac,viol_MAXI-CAB_frac,spread_km,violation_density,recurrence_score,norm_density,norm_proximity,norm_recurrence,congestion_risk_score,crs_predicted,enforcement_rank,enforcement_tier
4,1307,13.044453768116302,77.50728893842971,11.18982578622116,0.19051262433052793,0.3152257077276205,0.18949710428202565,0.49686516579093004,0.06809487375669472,0.12241775057383321,141,0.20428462127008415,0.24560061208875286,0.1568477429227238,0.14690130068859986,0.03442999234889059,1.2417751864031452,269.7986424835119,0.9276315789473685,0.006113333077771859,0.7263414040008218,0.9271523169475023,31.92739059275288,32.031671405244836,27,🟡 MEDIUM
46,987,12.881339503226549,77.59672181689874,10.759221914705655,0.2259371833839919,0.3110435663627153,0.35326877618434305,0.5044960271358584,0.17426545086119555,0.05167173252279635,117,0.4457953394123607,0.20871327254305977,0.2553191489361702,0.034447821681864235,0.017223910840932118,0.8460331251248969,438.92725091226964,0.7697368421052632,0.011018318186242375,0.7404612269967881,0.7682119197565019,31.635850122246218,31.867333373169703,28,🟡 MEDIUM
123,15,12.924400295858561,77.6281274708073,7.571866458066906,0.4,0.4,-0.3477076482708661,0.558147416535514,0.0,0.4,11,0.06666666666666667,0.3333333333333333,0.26666666666666666,0.13333333333333333,0.0,0.15565287003190512,197.07299670652316,0.07236842105263158,0.0040041795001836385,0.8449769962456155,0.06622516549625017,31.701937862381246,31.74543422657648,29,🟡 MEDIUM
99,65,12.989001604861926,77.68874434450139,11.413932148758349,0.4461538461538462,0.5384615384615384,-0.27333148517450373,0.6028126841818667,0.046153846153846156,0.4,7,0.46153846153846156,0.12307692307692308,0.26153846153846155,0.1076923076923077,0.015384615384615385,0.2615152865792901,302.5306104293354,0.046052631578947366,0.0070626095889235905,0.7189927887639034,0.0397350992977501,31.562859642329432,31.503366724994873,30,🟡 MEDIUM
14,405,12.888574078959818,77.56260272670094,10.136529244500608,0.19012345679012346,0.2740740740740741,0.7569052250401557,0.24298989499525747,0.1654320987654321,0.024691358024691357,82,0.4962962962962963,0.12098765432098765,0.23209876543209876,0.09382716049382717,0.0049382716049382715,0.19671034532214662,3331.583856101647,0.5394736842105263,0.09490972901369792,0.7608797853651474,0.5364238405196263,31.39750178847247,31.42116915254309,31,🟡 MEDIUM
20,170,12.951352218823528,77.60721419058824,3.822484333482115,0.2235294117647059,0.2411764705882353,0.2871426764152858,0.4104644351267753,0.1411764705882353,0.08235294117647059,42,0.1411764705882353,0.5470588235294118,0.03529411764705882,0.14705882352941177,0.0,0.21003290766207433,1226.6604394885005,0.27631578947368424,0.033863770503920324,0.9679220402765788,0.27152317853462565,31.258904558515045,31.283335372771408,32,🟡 MEDIUM
126,121,12.850803523140495,77.65747107272728,16.15572132656914,0.3884297520661157,0.2727272727272727,0.9826364605211824,-0.11049917268021373,0.3884297520661157,0.0,5,0.512396694214876,0.04132231404958678,0.3884297520661157,0.0,0.0,0.0731404769935467,7199.791519859669,0.03289473684210526,0.20709359408225522,0.563505975235647,0.026490066198500063,31.221312488502495,31.20507971618353,33,🟡 MEDIUM
130,10,12.954835249999999,77.68019488,10.706323969677198,0.5,0.2,0.4464101615137753,0.2146264369941973,0.5,0.0,9,0.3,0.1,0.5,0.0,0.1,0.0372601801788052,1273.2395447351626,0.05921052631578947,0.03521463491251029,0.7421957901766858,0.052980132397000126,31.106229349441584,31.042227992867957,34,🟡 MEDIUM
75,108,12.938216772222223,77.5926268148148,4.4409483949794035,0.027777777777777776,0.3425925925925926,0.49279701549913085,0.6718119110736156,0.027777777777777776,0.0,65,0.1111111111111111,0.2777777777777778,0.05555555555555555,0.21296296296296297,0.009259259259259259,0.05556738768126839,11133.556621231324,0.4276315789473684,0.32117872386428536,0.9476421411503266,0.423841059176001,38.552879120386905,30.715557680487905,35,🟡 MEDIUM
109,13,12.916493992307693,77.52058697692308,9.648154617196868,0.46153846153846156,0.15384615384615385,0.8860365859980527,-0.039725852577376077,0.46153846153846156,0.0,7,0.07692307692307693,0.6923076923076923,0.0,0.0,0.0,0.047134840434324844,1655.2114081557113,0.046052631578947366,0.04629239590953127,0.7768939546502034,0.0397350992977501,30.632387019738243,30.484543444834134,36,🟡 MEDIUM
118,29,12.915535541379311,77.69870208965516,14.189539686691333,0.3103448275862069,0.5862068965517241,0.4537846948402598,0.3169159980784071,0.3103448275862069,0.0,7,0.27586206896551724,0.10344827586206896,0.3103448275862069,0.1724137931034483,0.0,0.0433027852573961,3692.394679731972,0.046052631578947366,0.10537378789364316,0.627978541716029,0.0397350992977501,30.265694058748004,30.310629807919433,37,🟡 MEDIUM
31,112,13.084094077678571,77.63661758125,13.169658358054422,0.32142857142857145,0.375,0.24423711973895504,0.3485063148601345,0.32142857142857145,0.0,31,0.32142857142857145,0.07142857142857142,0.32142857142857145,0.1875,0.07142857142857142,0.2427830054761622,604.8275752229064,0.20394736842105263,0.01582967817905444,0.6614212132520778,0.1986754964887505,27.55493225191026,29.874564334476393,38,🟡 MEDIUM
103,20,12.968659919999999,77.55941170999999,2.8442218119781493,0.15,0.45,-0.11060453093678366,0.622090966383819,0.0,0.15,11,0.45,0.05,0.1,0.3,0.0,0.08299705118539741,924.1762378992098,0.07236842105263158,0.025091271763897655,1.0,0.06622516549625017,29.79044616669892,29.661945492940635,39,🟡 MEDIUM
38,206,13.05431352907727,77.50745474533441,11.932544824974599,0.28640776699029125,0.2961165048543689,0.47575192883702294,0.2601046021765477,0.22815533980582525,0.05825242718446602,78,0.1650485436893204,0.6019417475728155,0.10194174757281553,0.038834951456310676,0.03398058252427184,0.3517686780032318,529.911097171492,0.5131578947368421,0.013656987156316951,0.7019870912399457,0.5099337743211263,29.738433341782244,29.65980881601155,40,🟡 MEDIUM
